Solution,RDMnum,Realization,Year,Utility,Project
0,0,108,23,Raleigh,Reallocate Falls Lake
0,0,108,33,Durham,Western JL WTP (Large)
0,0,108,48,Raleigh,Neuse River Intake
0,0,109,16,Durham,Western JL WTP (Small)
0,0,109,23,Raleigh,Reallocate Falls Lake
0,0,109,33,Durham,Western JL WTP (Large)
0,0,109,47,Raleigh,Neuse River Intake
0,0,110,16,Durham,Western JL WTP (Small)
0,0,110,23,Raleigh,Reallocate Falls Lake
0,0,110,33,Durham,Western JL WTP (Large)
0,0,110,48,Raleigh,Neuse River Intake
0,0,111,16,Durham,Western JL WTP (Small)
0,0,111,23,Raleigh,Reallocate Falls Lake
0,0,111,33,Durham,Western JL WTP (Large)
0,0,111,49,Raleigh,Neuse River Intake
0,0,112,16,Durham,Western JL WTP (Small)
0,0,112,23,Raleigh,Reallocate Falls Lake
0,0,112,33,Durham,Western JL WTP (Large)
0,0,112,50,Raleigh,Neuse River Intake
0,0,113,16,Durham,Western JL WTP (Small)
0,0,113,21,Raleigh,Reallocate Falls Lake
0,0,113,33,Durham,Western JL WTP (Large)
0,0,113,48,Raleigh,Neuse River Intake
0,0,114,16,Durham,Western JL WTP (Small)
0,0,114,23,Raleigh,Reallocate Falls Lake
0,0,114,33,Durham,Western JL WTP (Large)
0,0,114,46,Raleigh,Neuse River Intake
0,0,115,16,Durham,Western JL WTP (Small)
0,0,115,23,Raleigh,Reallocate Falls Lake
0,0,115,33,Durham,Western JL WTP (Large)
0,0,115,48,Raleigh,Neuse River Intake
0,0,116,16,Durham,Western JL WTP (Small)
0,0,116,23,Raleigh,Reallocate Falls Lake
0,0,116,33,Durham,Western JL WTP (Large)
0,0,116,48,Raleigh,Neuse River Intake
0,0,117,16,Durham,Western JL WTP (Small)
0,0,117,23,Raleigh,Reallocate Falls Lake
0,0,117,33,Durham,Western JL WTP (Large)
0,0,117,48,Raleigh,Neuse River Intake
0,0,118,16,Durham,Western JL WTP (Small)
0,0,118,23,Raleigh,Reallocate Falls Lake
0,0,118,33,Durham,Western JL WTP (Large)
0,0,118,48,Raleigh,Neuse River Intake
0,0,119,16,Durham,Western JL WTP (Small)
0,0,119,23,Raleigh,Reallocate Falls Lake
0,0,119,33,Durham,Western JL WTP (Large)
0,0,119,48,Raleigh,Neuse River Intake
0,0,120,16,Durham,Western JL WTP (Small)
0,0,120,23,Raleigh,Reallocate Falls Lake
0,0,120,33,Durham,Western JL WTP (Large)
0,0,120,50,Raleigh,Neuse River Intake
0,0,121,16,Durham,Western JL WTP (Small)
0,0,121,23,Raleigh,Reallocate Falls Lake
0,0,121,33,Durham,Western JL WTP (Large)
0,0,121,48,Raleigh,Neuse River Intake
0,0,122,16,Durham,Western JL WTP (Small)
0,0,122,23,Raleigh,Reallocate Falls Lake
0,0,122,33,Durham,Western JL WTP (Large)
0,0,122,39,Raleigh,Neuse River Intake
0,0,123,16,Durham,Western JL WTP (Small)
0,0,123,21,Raleigh,Reallocate Falls Lake
0,0,123,33,Durham,Western JL WTP (Large)
0,0,123,48,Raleigh,Neuse River Intake
0,0,124,16,Durham,Western JL WTP (Small)
0,0,124,23,Raleigh,Reallocate Falls Lake
0,0,124,33,Durham,Western JL WTP (Large)
0,0,125,16,Durham,Western JL WTP (Small)
0,0,125,23,Raleigh,Reallocate Falls Lake
0,0,125,33,Durham,Western JL WTP (Large)
0,0,125,46,Raleigh,Neuse River Intake
0,0,126,16,Durham,Western JL WTP (Small)
0,0,126,23,Raleigh,Reallocate Falls Lake
0,0,126,33,Durham,Western JL WTP (Large)
0,0,126,45,Raleigh,Neuse River Intake
0,0,127,16,Durham,Western JL WTP (Small)
0,0,127,23,Raleigh,Reallocate Falls Lake
0,0,127,33,Durham,Western JL WTP (Large)
0,0,128,16,Durham,Western JL WTP (Small)
0,0,128,23,Raleigh,Reallocate Falls Lake
0,0,128,33,Durham,Western JL WTP (Large)
0,0,128,48,Raleigh,Neuse River Intake
0,0,129,16,Durham,Western JL WTP (Small)
0,0,129,23,Raleigh,Reallocate Falls Lake
0,0,129,33,Durham,Western JL WTP (Large)
0,0,129,50,Raleigh,Neuse River Intake
0,0,130,16,Durham,Western JL WTP (Small)
0,0,130,21,Raleigh,Reallocate Falls Lake
0,0,130,33,Durham,Western JL WTP (Large)
0,0,130,45,Raleigh,Neuse River Intake
0,0,131,16,Durham,Western JL WTP (Small)
0,0,131,23,Raleigh,Reallocate Falls Lake
0,0,131,33,Durham,Western JL WTP (Large)
0,0,131,49,Raleigh,Neuse River Intake
0,0,132,16,Durham,Western JL WTP (Small)
0,0,132,23,Raleigh,Reallocate Falls Lake
0,0,132,33,Durham,Western JL WTP (Large)
0,0,132,46,Raleigh,Neuse River Intake
0,0,133,16,Durham,Western JL WTP (Small)
0,0,133,23,Raleigh,Reallocate Falls Lake
0,0,133,33,Durham,Western JL WTP (Large)
0,0,133,45,Raleigh,Neuse River Intake
0,0,134,16,Durham,Western JL WTP (Small)
0,0,134,23,Raleigh,Reallocate Falls Lake
0,0,134,33,Durham,Western JL WTP (Large)
0,0,134,49,Raleigh,Neuse River Intake
0,0,135,16,Durham,Western JL WTP (Small)
0,0,135,23,Raleigh,Reallocate Falls Lake
0,0,135,33,Durham,Western JL WTP (Large)
0,0,136,16,Durham,Western JL WTP (Small)
0,0,136,23,Raleigh,Reallocate Falls Lake
0,0,136,33,Durham,Western JL WTP (Large)
0,0,136,50,Raleigh,Neuse River Intake
0,0,137,16,Durham,Western JL WTP (Small)
0,0,137,23,Raleigh,Reallocate Falls Lake
0,0,137,33,Durham,Western JL WTP (Large)
0,0,137,49,Raleigh,Neuse River Intake
0,0,138,16,Durham,Western JL WTP (Small)
0,0,138,23,Raleigh,Reallocate Falls Lake
0,0,138,33,Durham,Western JL WTP (Large)
0,0,138,49,Raleigh,Neuse River Intake
0,0,139,16,Durham,Western JL WTP (Small)
0,0,139,23,Raleigh,Reallocate Falls Lake
0,0,139,33,Durham,Western JL WTP (Large)
0,0,139,48,Raleigh,Neuse River Intake
0,0,140,16,Durham,Western JL WTP (Small)
0,0,140,23,Raleigh,Reallocate Falls Lake
0,0,140,33,Durham,Western JL WTP (Large)
0,0,140,52,Raleigh,Neuse River Intake
0,0,141,16,Durham,Western JL WTP (Small)
0,0,141,23,Raleigh,Reallocate Falls Lake
0,0,141,33,Durham,Western JL WTP (Large)
0,0,142,16,Durham,Western JL WTP (Small)
0,0,142,23,Raleigh,Reallocate Falls Lake
0,0,142,33,Durham,Western JL WTP (Large)
0,0,142,48,Raleigh,Neuse River Intake
0,0,143,16,Durham,Western JL WTP (Small)
0,0,143,23,Raleigh,Reallocate Falls Lake
0,0,143,33,Durham,Western JL WTP (Large)
0,0,143,42,Raleigh,Neuse River Intake
0,0,144,16,Durham,Western JL WTP (Small)
0,0,144,23,Raleigh,Reallocate Falls Lake
0,0,144,33,Durham,Western JL WTP (Large)
0,0,144,41,Raleigh,Neuse River Intake
0,0,145,16,Durham,Western JL WTP (Small)
0,0,145,23,Raleigh,Reallocate Falls Lake
0,0,145,33,Durham,Western JL WTP (Large)
0,0,145,48,Raleigh,Neuse River Intake
0,0,146,16,Durham,Western JL WTP (Small)
0,0,146,23,Raleigh,Reallocate Falls Lake
0,0,146,33,Durham,Western JL WTP (Large)
0,0,146,48,Raleigh,Neuse River Intake
0,0,147,16,Durham,Western JL WTP (Small)
0,0,147,23,Raleigh,Reallocate Falls Lake
0,0,147,33,Durham,Western JL WTP (Large)
0,0,147,50,Raleigh,Neuse River Intake
0,0,148,16,Durham,Western JL WTP (Small)
0,0,148,23,Raleigh,Reallocate Falls Lake
0,0,148,33,Durham,Western JL WTP (Large)
